企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
大庆华圣鑫城经贸有限公司,912306026774516631,2008-06-25,N/A,N/A,"200(万)","汽车零配件、化工产品（不含危险化学品、易燃易爆品及剧毒品）、其他机械设备及电子产品、五金交电、水暖部件、建材、钢材、井下作业工具、钻采配件、焊接材料、橡胶制品、劳保用品（专项审批除外）、日用百货、办公用品、润滑油",黑龙江,大庆,"黑龙江省大庆市萨尔图区九龙达汽配城1号楼商服13号"
哈尔滨鑫盛源商贸有限责任公司,91230102676950508A,2008-06-25,N/A,N/A,"1,000(万元)","以合同、订单、仓单、提单等形式不设仓储、不过手实物销售预包装食品，批发（食品流通许可证有效期至2017年1月19日）。批发兼零售：服装鞋帽、针纺织品、日用百货、家用电器、装饰材料、五金交电、建筑材料、金属材料、电子产品、化工产品（不含危险品)、通讯器材",黑龙江,哈尔滨,"哈尔滨市道里区新康街5号4单元1层1号"
大庆腾博科技开发有限公司,91230602677450820P,2008-06-25,N/A,N/A,"5,006(万元人民币)","见《中华人民共和国危险化学品经营许可证》登记编号：黑E安经字【2016】000016；计算机、软件研发、销售；实验室设备、仪器仪表、仪器配件、教学仪器、化验台、柜、玻璃仪器、化工产品",黑龙江,大庆,"黑龙江省大庆市萨尔图区中桥路14#金山五交化批发商城5-19"
中国邮政储蓄银行股份有限公司巴彦县兴隆镇铁东街营业所,91230126676961944G,2008-06-25,N/A,N/A,"N/A","吸收公众存款、办理汇兑业务；从事银行卡业务；代理收付款项及代理保险业务；买卖、代理买卖外汇；办理个人存款证明服务；提供保管箱服务；办理网上银行业务；办理小额贷款业务；办理国内外结算，经银行业监督管理机构批准的其他业务",黑龙江,哈尔滨,"黑龙江省哈尔滨市巴彦县兴隆镇铁东街"
中国邮政储蓄银行股份有限公司哈尔滨市公园路营业所,91230111300859511F,2008-06-25,N/A,N/A,"N/A","按金融许可证核定的范围从事经营活动。",黑龙江,哈尔滨,"哈尔滨市呼兰区公园路1号"
台湾杨智实业有限公司牡丹江代表处,91230000677454071K,2008-06-25,外国(地区)企业常驻代表机构,N/A,"0万美元","咨询、联络。",黑龙江,牡丹江,"黑龙江省牡丹江市东宁县中华路12号2楼201"
中国邮政储蓄银行股份有限公司哈尔滨市康金镇中华路支行,912301116907279869,2008-06-25,N/A,N/A,"N/A","按金融许可证核定的范围从事经营活动。",黑龙江,哈尔滨,"哈尔滨市呼兰区康金镇中华路"
哈尔滨希尔布兰德机械有限公司,91230100672147101E,2008-06-25,N/A,N/A,"100(万元人民币)","生产木材干燥设备、测水仪及相关配件，销售自产产品。",黑龙江,哈尔滨,"哈尔滨市道外区哈同公路三公里处"
哈尔滨市富田农资有限公司,912301046769586301,2008-06-25,N/A,N/A,"3(万)","H20-化学危险品经营批发（租赁仓储）：2.4-滴丁酯、百草枯、敌敌畏、福美双、氯氰菊酯、灭草松、三唑酮、辛硫磷、氧乐果、乙草胺***",黑龙江,哈尔滨,"哈尔滨市道外区东化工路96号1栋6号"
牡丹江庆民养殖有限公司,91231000677459841E,2008-06-25,N/A,N/A,"10(万元人民币)","生猪养殖；家禽饲养；肉牛养殖；有机肥销售。",黑龙江,牡丹江,"黑龙江省牡丹江市西安区东河畜牧场第四社区"
依安县惠农种业有限公司,91230223677452594H,2008-06-25,N/A,N/A,"500(万元)","种子批发、零售、加工、包装。",黑龙江,齐齐哈尔,"黑龙江省齐齐哈尔市依安县鹏晟农资市场院内13栋16号"
中国邮政储蓄银行股份有限公司巴彦县西人民大街营业所,9123012667696204X2,2008-06-25,N/A,N/A,"N/A","吸收公众存款、办理汇兑业务；从事银行卡业务；代理收付款项及代理保险业务；买卖、代理买卖外汇；办理个人存款证明服务；提供保管箱服务；办理网上银行业务；办理小额贷款业务；办理国内外结算，经银行业监督管理机构批准的其他业务",黑龙江,哈尔滨,"黑龙江省哈尔滨市巴彦县巴彦镇人民大街339号"
哈尔滨金色阳光贸易有限公司,912301106769586141,2008-06-25,N/A,N/A,"3(万元人民币)","零售：预包装食品（食品流通许可证有效期至2018年7月20日）。经销：五金交电（不含无线话筒设备）、建筑材料、办公用品及计算机耗材、化工产品",黑龙江,哈尔滨,"哈尔滨市香坊区中山路99号"
中国邮政储蓄银行股份有限公司哈尔滨市南大街营业所,91230111300859490Y,2008-06-25,N/A,N/A,"N/A","按金融许可证核定的范围从事经营活动。",黑龙江,哈尔滨,"哈尔滨市呼兰区南大街开发15号楼"
哈尔滨海亮展览展示有限公司,912301106769517548,2008-06-25,N/A,N/A,"100(万元人民币)","展览展示服务；移动舞台、桁架租赁；舞台背景搭建、会场布置。",黑龙江,哈尔滨,"哈尔滨市香坊区（原动力区）黎明办事处红星村大房身屯"
泰康人寿保险股份有限公司伊春中心支公司友好营销服务部,91230700MA18XQME16,2008-06-25,N/A,N/A,"N/A","按保险营销服务许可证核定的范围经营保险业务。",黑龙江,伊春,"黑龙江省伊春市友好区友好办文明委"
克山县金原马铃薯农民专业合作社,9323022932293560XK,2008-06-25,N/A,N/A,"N/A","组织成员种植马铃薯、大豆、玉米、杂粮，组织采购、供应成员种植马铃薯、大豆、玉米、杂粮所需的农业生产资料、新品种，组织销售、贮藏成员的马铃薯、大豆、玉米、杂粮，开展与马铃薯、大豆、玉米、杂粮种植有关的技术交流和信息咨询服务。",黑龙江,齐齐哈尔,"克山县古城镇民和村四社"
哈尔滨市济世堂医药连锁有限公司希望药店,91230112686009199L,2008-06-25,N/A,N/A,"N/A","零售处方药：中成药、化学药制剂、抗生素制剂、生化药品；甲类非处方药、乙类非处方药",黑龙江,哈尔滨,"哈尔滨市阿城区金城街高明小区9#楼一层17号"
绥化市鑫万源米业有限公司,91231200672949817E,2008-06-25,N/A,N/A,"2,000(万元人民币)","大米加工（在《全国工业产品生产许可证》核定的范围和时限内从事经营活动，有效期至2017年10月19日）；水稻、玉米收购",黑龙江,绥化,"黑龙江省绥化市北林区太平川镇"
中国邮政储蓄银行股份有限公司巴彦县广场名苑支行,91230126676961987X,2008-06-25,N/A,N/A,"N/A","吸收公众存款、办理汇兑业务；从事银行卡业务；代理收付款项及代理保险业务；买卖、代理买卖外汇；办理个人存款证明服务；提供保管箱服务；办理网上银行业务；办理小额贷款业务；办理国内外结算，经银行业监督管理机构批准的其他业务",黑龙江,哈尔滨,"黑龙江省哈尔滨市巴彦县广场名苑小区一层28、29、30号商服"
抚远佳佳进出口有限责任公司,912308336774513800,2008-06-25,N/A,N/A,"100(万元)","纺织品，日用家电百货，服装鞋帽，机械电子设备，有色金属（不含贵重金属），建筑及装潢材料，家具，木材，钢材。（从事与俄罗斯联邦边境经济贸易和国际经济技术合作业务）。",黑龙江,佳木斯,"黑龙江省佳木斯市抚远县抚远镇西山区一委"
哈尔滨裕丰养殖有限公司,91230112676952036Q,2008-06-25,N/A,N/A,"200(万元人民币)","蛋种鸡养殖、销售。",黑龙江,哈尔滨,"哈尔滨市阿城区胜利街外资局综合楼2号楼小车库2号"
牡丹江市同鑫市政建筑工程质量检测有限公司,91231000677453546H,2008-06-25,N/A,N/A,"80(万元人民币)","市政工程质量检测咨询、市政工程施工、沥青混凝土生产加工",黑龙江,牡丹江,"黑龙江省牡丹江市爱民区兴中路祥合林苑小区17号楼附房2号、3号门市"
桦川县绿丰米业集团有限公司,91230826672949980X,2008-06-25,N/A,N/A,"3,000(万元)","水稻加工，水稻收购。粮食仓储、销售。房屋租赁。",黑龙江,佳木斯,"黑龙江省佳木斯市桦川县城南工业园区"
中国邮政储蓄银行股份有限公司哈尔滨市进乡街支行,91230100585133836D,2008-06-25,N/A,N/A,"N/A","按金融许可证核定的范围从事经营活动。",黑龙江,哈尔滨,"哈尔滨市香坊区进乡街副73-1号"
哈尔滨市佰亿货物运输有限责任公司,91230111672149801J,2008-06-25,N/A,N/A,"50(万元)","道路普通货物运输",黑龙江,哈尔滨,"哈尔滨市呼兰区大江国际小区第3栋商服6号"
中国邮政储蓄银行股份有限公司巴彦县西集镇向荣街营业所,912301266769619793,2008-06-25,N/A,N/A,"N/A","吸收公众存款、办理汇兑业务；从事银行卡业务；代理收付款项及代理保险业务；买卖、代理买卖外汇；办理个人存款证明服务；提供保管箱服务；办理网上银行业务；办理小额贷款业务；办理国内外结算，经银行业监督管理机构批准的其他业务",黑龙江,哈尔滨,"黑龙江省哈尔滨市巴彦县西集镇向荣街"
七台河汇正通化工有限公司,91230900677450708B,2008-06-25,N/A,N/A,"200(万元人民币)","。生产、研发、销售乳化母液、防水、防腐涂料及辅料、清洗剂、水处理化学品，销售化工原料",黑龙江,七台河,"黑龙江省七台河市新兴区北山街"
江苏龙祥房地产开发有限公司绥化分公司,91231200677452631R,2008-06-25,N/A,N/A,"N/A","以公司的名义从事房地产开发经营（在公司资质证书核定的范围和时限内从事经营活动）",黑龙江,绥化,"黑龙江省绥化市北林区中兴东路华辰超市路南(红卫街"
哈尔滨市道外区东风供销合作社新兴农农资经销处,91230104MA18YFEK5H,2008-06-25,国有企业,N/A,"N/A","批发（市场内租赁仓储）：敌敌畏、福美双、氯氰菊酯、氧乐果、乙草胺（危险化学品经营许可证有效期到2020年1月24日）。经销：化肥、农膜。",黑龙江,哈尔滨,"哈尔滨市道外区东化工路９６号门市３栋３７号"
中国邮政储蓄银行股份有限公司巴彦县西集镇光复街营业所,91230126676962146G,2008-06-25,N/A,N/A,"N/A","吸收公众存款、办理汇兑业务；从事银行卡业务；代理收付款项及代理保险业务；买卖、代理买卖外汇；办理个人存款证明服务；提供保管箱服务；办理网上银行业务；办理小额贷款业务；办理国内外结算，经银行业监督管理机构批准的其他业务",黑龙江,哈尔滨,"黑龙江省哈尔滨市巴彦县西集镇光复街"
哈尔滨时迅达航空服务有限公司,91230103676950313Y,2008-06-25,N/A,N/A,"150(万元人民币)","代理航空意外伤害险",黑龙江,哈尔滨,"哈尔滨市南岗区花园街３６２号"
