企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
海南江友办公设备有限公司,91460000730083960R,2002-01-04,N/A,N/A,"100(万元)","点钞机、传真机、碎纸机、计算器、验钞机、电话机、电热水瓶、办公设备及耗材的销售。",海南,海口,"海口市盐灶一横路罗牛山花园A幢202号"
海口美东钢结构制造有限公司,91460100730085384R,2002-01-04,N/A,N/A,"10(万美元)","钢结构制造、安装和设计。",海南,海口,"海口市金盘工业区美国工业村一号标准厂房A-1-1"
海口约珥电子技术有限公司,9146010073008543XP,2002-01-04,N/A,N/A,"30(万元)","电脑软硬件及周边设备、磁光存储产品、数码产品、计算机耗材及网络产品零售、电器维修服务",海南,海口,"海口市南宝路3号南宝电脑城418室"
海南美伦旅游发展有限公司,91460000730085683J,2002-01-04,N/A,N/A,"500(万元)","旅游度假项目投资、开发，农业项目投资、开发，餐饮服务，健康养老服务，房地产开发经营，酒店管理，会展会议服务，土地租赁，水上娱乐服务，农业种植服务，果蔬采摘，农产品生产加工及销售，水产养殖、家禽养殖及销售，民宿改造建设与开发，新农村景观景点旅游项目投资与策划。",海南,海口,"海口市龙昆北路景瑞大厦1602室"
海南杏林医药有限公司,914600007300843146,2002-01-04,N/A,N/A,"100(万元人民币)","中成药、化学原料药及其制剂、抗生素原料药及其制剂、生化药品。",海南,海口,"海口市金盘建设一横路一号吉兴雅苑422房"
海南新榕房地产开发有限公司,91469027730080997G,2002-01-07,N/A,N/A,"10,000(万元)","房地产开发、营销策划、房屋租赁及管理服务、市政道路、给排水工程、土石方工程、房屋装饰、建筑材料销售、码头建设投资、仓储业。",海南,省直辖县,"澄迈县老城开发区工业大道"
海口集美贸易有限公司,91460100730085931D,2002-01-07,N/A,N/A,"30(万元人民币)","服装、百货、纺织品、针织品、文体用品零售。",海南,海口,"海口市海府一横路海府大厦东座首层南侧"
文昌昌宇贸易有限公司恒达加油站,91469005062321846A,2002-01-07,N/A,N/A,"N/A","柴油、机油、煤油、农机配件零售、汽油。",海南,省直辖县,"文昌市翁田镇"
海南建厦贸易有限公司,9146000073008463XN,2002-01-08,N/A,N/A,"100(万元人民币)","建筑材料、钢材、建筑机械设备及租赁、五金工具、木制品、家用电器、铝制品、人造板、新型建材的销售；建筑工程技术咨询服务。",海南,海口,"海口市疏港大道东侧"
五指山天湖旅游有限公司,91469001730084066E,2002-01-08,N/A,N/A,"100(万元)","投资开发经营管理旅游项目、娱乐项目、体育健身旅游探险项目、漂流、旅游工艺品生产销售、水利水电项目开发、发电供电经营服务、机电维修和安装、线路检修和安装。",海南,省直辖县,"五指山市海榆南路268号第4层"
中国石化销售有限公司海南儋州中兴加油站,914690033962944979,2002-01-08,N/A,N/A,"N/A","汽油、柴油、润滑油零售，日用百货便利店经营，烟销售，食品、乳制品",海南,儋州,"儋州市那大镇中兴大街西"
海南东越电气工程有限公司,914600007300856405,2002-01-08,N/A,N/A,"100(万元人民币)","电气产品的批发、零售、代购代销；水电工程、电气工程的安装。",海南,海口,"海口市君尧村90号"
海南美瑞德珠宝首饰有限公司,91460000730086782C,2002-01-08,N/A,N/A,"108(万元)","珠宝、钻石、宝石、玉石镶嵌饰品、钟表、工艺品的生产、销售。",海南,海口,"海口市五指山路２５号康业花园Ｂ－１５Ｂ"
