企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
上海兰阳商务咨询有限公司,913101127345759975,2002-01-10,N/A,N/A,"50(万元人民币)","商务咨询，企业投资咨询，企业管理咨询，礼仪服务，会务服务，企业形象策划，电脑图文制作",上海,闵行,"上海市闵行区张虹路129号英杰商务楼5W"
上海凯一机械设备有限公司,913101097345827166,2002-01-10,N/A,N/A,"50(万元人民币)","销售机械设备，五金工具，橡塑制品，文化用品，日用百货，金属材料，电子产品，机械设备租赁，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】",上海,虹口,"沽源路110弄15号201室－5"
上海兴峥金属制品有限公司,91310120734580606X,2002-01-10,N/A,N/A,"50(万元人民币)","五金冲件、冷作钣金加工",上海,奉贤,"上海市奉贤区杨牌路628号9幢149号"
上海亚济信息科技有限公司,91310114734566142F,2002-01-10,N/A,N/A,"500(万元人民币)","计算机科技、通讯科技领域内的技术开发、技术转让、技术咨询、技术服务，网络工程，通讯器材、电子产品、办公设备、机电设备、五金交电、计算机、软件及辅助设备",上海,嘉定,"上海市嘉定区环城路200号J169室"
上海佳雪服饰洗涤有限公司,91310116735390345X,2002-01-10,N/A,N/A,"50(万元人民币)","被服洗涤，服装，床上用品制造，工艺品（除金外）加工，道路货物运输",上海,金山,"上海市金山区朱泾镇新农亭枫公路2646号"
上海华誉房屋置换有限公司第一分公司,91310109734578266J,2002-01-10,N/A,N/A,"N/A","房地产经纪。【依法须经批准的项目，经相关部门批准后方可开展经营活动】",上海,虹口,"上海市溧阳路1158号"
上海兔龙食品有限公司,91310114739038031Y,2002-01-10,N/A,N/A,"100(万元人民币)","食用农产品（不含生猪产品、牛羊肉品）、包装材料的销售，食品销售【批发：预包装食品",上海,嘉定,"上海市嘉定区金娄路15号1幢1层103、105、109、110室"
上海世应商贸有限公司,91310114734567129A,2002-01-10,N/A,N/A,"50(万元人民币)","办公用品、五金交电、厨房用具、卫生洁具、建筑装潢材料、汽摩配件、安防设备的销售，安防设备",上海,嘉定,"嘉定区真新街道曹安路1525号648"
上海依特机械有限公司,91310117734568164H,2002-01-10,N/A,N/A,"50(万元人民币)","机电设备、五金交电、建筑装饰材料",上海,松江,"上海市松江区玉佳路4号153室-A"
上海伯辰百货有限公司,9131010173458499XU,2002-01-10,N/A,N/A,"50(万元人民币)","百货、皮塑制品、文化办公用品、装潢材料、五金交电、电线电缆、通信设备",上海,黄浦,"上海市黄浦区中华路977号底东客"
上海凉亭园林工程有限公司,913101187345846665,2002-01-10,N/A,N/A,"200(万元人民币)","绿化工程、园艺造景、种植苗木。【依法须经批准的项目，经相关部门批准后方可开展经营活动】",上海,青浦,"青浦区练塘镇南王浜村东塘江南侧"
